player_id,display_name,score_l2,score_mahalanobis,score_pca_whitened_l2,rank_l2,rank_mahalanobis,rank_pca_whitened_l2,championships,finals_losses,finals_appearances,playoff_seasons,playoff_performance,playoff_depth_total,team_strength_index,championship_credit,finals_loss_debit,championship_net,max_consecutive_championships,repeat_titles_score,stat_outlier_z,clutch_penalty,score_goat_index,rank_goat_index
mchalke01,Kevin McHale,3.8408622486260846,4.042761826362264,4.012397255860679,53,48,69,3,2,5,13,1.6640744555492142,21.632967922139784,1.219500838534986,3.2059477112108765,2.497762366319241,0.7081853448916355,1.0,3.0,-0.0537136146386484,0.0,3.7645323851486068,61
iversal01,Allen Iverson,4.245908224131683,4.321276502145738,4.046619581973206,63,57,70,0,1,1,7,1.6136304661774408,11.295413263242086,-2.4029417972302567,0.0,0.65,-0.65,0.0,0.0,-0.11109717262557803,0.19088801919711032,4.360019190611906,75
bryanko01,Kobe Bryant,4.93670219246686,4.410289523381362,4.064199793411537,73,59,71,5,2,7,16,2.591812943335651,41.469007093370415,-2.905066764567571,11.312090069317705,1.3,10.012090069317704,3.0,8.75,0.6122743874423338,0.0,0.5599682691503407,5
gervige01,George Gervin,4.4117021295648415,4.487768602035805,4.065321605611802,66,62,72,0,0,0,12,1.0573698061004213,12.688437673205057,1.7610552151240109,0.0,0.0,0.0,0.0,0.0,0.2557487998289123,0.5121713097729007,4.295798695009607,74
abdulka01,Kareem Abdul-Jabbar,5.361173233642155,4.86814987803215,4.128632121277536,79,68,73,6,4,10,18,2.2099910080777314,39.77983814539917,3.7337889605952324,6.0,5.582184694403498,0.41781530559650193,2.0,6.75,1.1586180687044505,0.0,3.9823967643187603,66
butleji01,Jimmy Butler,5.161693516382785,5.0647289626734215,4.1708656474582595,76,72,74,0,2,2,11,1.5374594920379288,16.912054412417216,-2.200208029008882,0.0,1.4066331881931078,-1.4066331881931078,0.0,0.0,0.9553717939182366,1.1265697901248044,5.170143668882009,86
mingya01,Yao Ming,4.813649734240099,4.630577687661967,4.172164950569451,70,65,75,0,0,0,5,1.5141775541590372,7.570887770795186,-3.4278503610602487,0.0,0.0,0.0,0.0,0.0,0.6309024558199101,1.034826969765266,4.63783708696382,80
paulch01,Chris Paul,5.181510522941839,4.7625326591517245,4.315413600886388,77,66,76,0,1,1,15,1.4037253155806724,21.055879733710086,-1.6122775291598874,0.0,1.3043381402923866,-1.3043381402923866,0.0,0.0,0.9569105655383496,0.7888608113279973,5.126919315086322,84
duncati01,Tim Duncan,5.397928313232294,5.476259030386898,4.360949729045399,80,80,77,5,1,6,19,2.520413892059112,47.88786394912313,-4.167829128834273,10.436657395600335,0.65,9.786657395600335,1.0,5.0,0.9932669461994748,0.0,0.9356196405852821,7
davisan02,Anthony Davis,5.039822653649902,5.032214848202917,4.397288894615269,75,71,78,1,0,1,6,1.6219128273856696,9.731476964314018,0.11185088719386638,1.1810103033927697,0.0,1.1810103033927697,1.0,1.0,0.7289754626658906,0.45522585756589845,4.188786924332454,73
gilgesh01,Shai Gilgeous-Alexander,5.455527171946427,5.005119059898193,4.4712591659125,81,70,79,1,0,1,5,1.5059569310264487,7.529784655132243,2.999079264116277,1.0,0.0,1.0,1.0,1.0,1.0735189289966467,0.6134958512604103,4.397332298979684,77
olajuha01,Hakeem Olajuwon,5.219394634506066,5.356980649435333,4.493732928371662,78,76,80,2,1,3,15,1.758335208470333,26.375028127054996,-1.3679979191760945,4.744346747697266,1.613598307702833,3.130748439994433,2.0,2.75,0.7535102592588157,0.0,3.39797097437361,51
onealsh01,Shaquille O'Neal,5.490419288736506,5.398781440508922,4.571240386165838,82,78,81,4,2,6,16,2.3862981065820446,38.18076970531271,-2.233980764014827,9.712478533527372,2.559211416764475,7.153267116762898,3.0,7.0,0.9570870737055343,0.0,2.0675968952988244,19
leonaka01,Kawhi Leonard,5.659892388899976,5.336703857858734,4.586298471012802,84,75,82,2,1,3,13,2.2466269289721046,29.20615007663736,-2.523889553724321,4.590378836370076,0.65,3.940378836370076,1.0,2.0,1.271330695203113,0.3986228147940726,3.386546144940609,50
malonka01,Karl Malone,6.037835127754004,5.965340199027033,4.618322266774955,87,85,83,0,3,3,19,1.4185383051674538,26.952227798181625,-0.6588555273332917,0.0,3.263088764169104,-3.263088764169104,0.0,0.0,1.39991886907015,0.4968324513590618,5.983977937345719,93
barklch01,Charles Barkley,5.829271401359714,6.218397923325005,4.627330205535833,85,88,84,0,1,1,13,1.1557925377275575,15.025302990458247,1.5610525327777742,0.0,1.5056348854612849,-1.5056348854612849,0.0,0.0,1.3457614907945048,0.9427709467365669,5.578549341478738,89
hardeja01,James Harden,6.071157114241563,6.689796382146425,4.772186959212615,88,91,85,0,1,1,14,1.3897950933334315,19.457131306668042,-0.41792453793640927,0.0,0.65,-0.65,0.0,0.0,1.4167382288035908,0.8688991643168755,5.390691583155209,88
stockjo01,John Stockton,5.542735870829957,5.868365928553092,4.773167934142412,83,84,86,0,2,2,19,1.3261476003749166,25.196804407123416,-0.6638990940458365,0.0,2.6130887641691043,-2.6130887641691043,0.0,0.0,0.9948203193731621,1.0475680007393984,6.159154601934328,94
embiijo01,Joel Embiid,5.0000113911812925,5.7768692146103575,4.877626301426639,74,83,87,0,0,0,7,1.1295236567022082,7.906665596915457,0.8430691914235263,0.0,0.0,0.0,0.0,0.0,0.19436078616257227,0.5790464109742491,5.138197186365051,85
doncilu01,Luka Dončić,6.139862942312872,7.077824754009873,4.986997729605349,90,93,88,0,1,1,4,1.359995178237946,5.439980712951784,2.572994089800786,0.0,2.3767912321956204,-2.3767912321956204,0.0,0.0,1.343766209281205,0.9783586627717947,6.259136059121124,96
johnsma02,Magic Johnson,6.227669676589147,5.503152041658642,5.078402180136573,91,81,89,5,4,9,13,2.081983402335322,27.065784230359185,3.1644346504132495,5.0,5.8544600048341255,-0.8544600048341255,2.0,5.75,1.6493209607095878,0.0,5.377463181828517,87
